PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
39629232,Case report: Detection of non-O1/non-O139 Vibrio cholerae in a patient with hepatic space-occupying lesions using metagenomic next-generation sequencing,"Zhang W, Xiao L, Shan X, Dai B, Tang C, Xian J, Yu Y.",Front Med (Lausanne). 2024 Nov 19;11:1483027. doi: 10.3389/fmed.2024.1483027. eCollection 2024.,Zhang W,Front Med (Lausanne),2024,2024/12/4,PMC11611565,,10.3389/fmed.2024.1483027
40871358,Cervical Actinomycosis Diagnosed via Metagenomic Next-Generation Sequencing of Formalin-Fixed Paraffin-Embedded Tissue: A Case Report and Literature Review,"Wang TKF, Tsang HF, Wong SCC, Leung SWM.",Microorganisms. 2025 Aug 8;13(8):1855. doi: 10.3390/microorganisms13081855.,Wang TKF,Microorganisms,2025,2025/8/28,PMC12388422,,10.3390/microorganisms13081855
37091672,First report on severe septic shock associated with human Parvovirus B19 infection after cardiac surgery,"Xiang C, Wu X, Wei Y, Li T, Tang X, Wang Y, Zhang X, Huang X, Wang Y.",Front Cell Infect Microbiol. 2023 Apr 5;13:1064760. doi: 10.3389/fcimb.2023.1064760. eCollection 2023.,Xiang C,Front Cell Infect Microbiol,2023,2023/4/24,PMC10115160,,10.3389/fcimb.2023.1064760
37928606,Lung Abscess Caused by Tannerella forsythia Infection: A Case Report,"Lv H, Zhuang Y, Wu W.",Infect Drug Resist. 2023 Oct 31;16:6975-6981. doi: 10.2147/IDR.S434494. eCollection 2023.,Lv H,Infect Drug Resist,2023,2023/11/6,PMC10625316,,10.2147/IDR.S434494
38728637,Metagenomic next-generation sequencing confirmed a case of sporadic human infection with Streptococcus suis in an urban area,"Ye Y, Gu H, Li T, Dai X, Shi B.",J Infect Dev Ctries. 2024 Apr 30;18(4):645-650. doi: 10.3855/jidc.18805.,Ye Y,J Infect Dev Ctries,2024,2024/5/10,,,10.3855/jidc.18805
38221930,Identification of mixed anaerobic infections after inguinal hernia repair based on metagenomic next-generation sequencing: A case report,"Zhang J, Zhou Y, Zhong Z, Lv Y, Yang X, Liu X.",Open Med (Wars). 2024 Jan 12;19(1):20230887. doi: 10.1515/med-2023-0887. eCollection 2024.,Zhang J,Open Med (Wars),2024,2024/1/15,PMC10787303,,10.1515/med-2023-0887
34315270,A case report of pyogenic liver abscess caused by hypervirulent Klebsiella pneumoniae diagnosed by metagenomic next-generation sequencing,"Xie J, Zhu Z.",J Int Med Res. 2021 Jul;49(7):3000605211032793. doi: 10.1177/03000605211032793.,Xie J,J Int Med Res,2021,2021/7/28,PMC8323428,,10.1177/03000605211032793
37712061,Case Report: Detection of Treponema phagedenis in cerebrospinal fluid of a neurosyphilis patient by metagenomic next-generation sequencing,"Yuan C, Xu W, Zhao C, Gao W, Wu G.",Front Cell Infect Microbiol. 2023 Aug 29;13:1218049. doi: 10.3389/fcimb.2023.1218049. eCollection 2023.,Yuan C,Front Cell Infect Microbiol,2023,2023/9/15,PMC10497860,,10.3389/fcimb.2023.1218049
35281577,Severe Chlamydia psittaci Pneumonia Complicated by Rhabdomyolysis: A Case Series,"Zhang A, Xia X, Yuan X, Liu Y, Niu H, Zhang Y, Liang J.",Infect Drug Resist. 2022 Mar 6;15:873-881. doi: 10.2147/IDR.S355024. eCollection 2022.,Zhang A,Infect Drug Resist,2022,2022/3/14,PMC8910519,,10.2147/IDR.S355024
37712982,Isolated neural arch tuberculosis with tuberculomas: case report,"Xiao ST, Zhang HQ, Wang YX.",Skeletal Radiol. 2024 Jul;53(7):1417-1421. doi: 10.1007/s00256-023-04450-0. Epub 2023 Sep 15.,Xiao ST,Skeletal Radiol,2024,2023/9/15,,,10.1007/s00256-023-04450-0
38616262,Multi-organ involvement caused by Scedosporium apiospermum infection after near drowning: a case report and literature review,"Yao Y, Xu Q, Liang W, Ji S, Kosari M, Xu S, Zhu Z, Mao Z.",BMC Neurol. 2024 Apr 15;24(1):124. doi: 10.1186/s12883-024-03637-9.,Yao Y,BMC Neurol,2024,2024/4/14,PMC11017585,,10.1186/s12883-024-03637-9
38905282,An axillary skin lesion revealing disseminated paracoccidioidomycosis,"Monpierre L, Foulet F, Hua C, Melin A, Schlemmer F, Cappy P, Le Cleach L, Ortonne N, Botterel F.",J Travel Med. 2024 Aug 3;31(6):taae086. doi: 10.1093/jtm/taae086.,Monpierre L,J Travel Med,2024,2024/6/21,,,10.1093/jtm/taae086
39833778,Severe pneumonia due to concurrent Legionella pneumophila and Acinetobacter baumannii infections: a case report,"Yang X, Liu Z, Liu X, Li Q, Huang H, Wei Y, Sun T.",BMC Pulm Med. 2025 Jan 20;25(1):29. doi: 10.1186/s12890-025-03481-8.,Yang X,BMC Pulm Med,2025,2025/1/20,PMC11749207,,10.1186/s12890-025-03481-8
36268227,The diagnosis of leptospirosis complicated by pulmonary tuberculosis complemented by metagenomic next-generation sequencing: A case report,"Shi J, Wu W, Wu K, Ni C, He G, Zheng S, Cheng F, Yi Y, Ren R, Jiang X.",Front Cell Infect Microbiol. 2022 Oct 4;12:922996. doi: 10.3389/fcimb.2022.922996. eCollection 2022.,Shi J,Front Cell Infect Microbiol,2022,2022/10/21,PMC9577070,,10.3389/fcimb.2022.922996
35646766,Case Report: Severe Listeria Encephalitis With Complicated or Secondary Autoimmune Encephalitis and CNS Demyelinating Diseases,"Zhang X, Feng P, Meng P, Li D, Gao H, Zhao Y, Yuan J, Wang Y, Xia H.",Front Public Health. 2022 May 12;10:848868. doi: 10.3389/fpubh.2022.848868. eCollection 2022.,Zhang X,Front Public Health,2022,2022/6/1,PMC9133549,,10.3389/fpubh.2022.848868
34908857,Metagenomic Next-Generation Sequencing Assists in the Diagnosis of Gardnerella vaginalis in Males with Pleural Effusion and Lung Infection: A Case Report and Literature Review,"Wu S, Hu W, Xiao W, Li Y, Huang Y, Zhang X.",Infect Drug Resist. 2021 Dec 7;14:5253-5259. doi: 10.2147/IDR.S337248. eCollection 2021.,Wu S,Infect Drug Resist,2021,2021/12/15,PMC8665863,,10.2147/IDR.S337248
37789830,Metagenomics as New Tool for Diagnosis of Scrub Typhus: Two Case Reports,"Ling Y, Hu X, Zheng G, Ye W, Yuan K, Ye L, Huang W, Tian B, Gu B.",Int Med Case Rep J. 2023 Sep 27;16:617-622. doi: 10.2147/IMCRJ.S431864. eCollection 2023.,Ling Y,Int Med Case Rep J,2023,2023/10/4,PMC10544144,,10.2147/IMCRJ.S431864
36619462,Scedosporium apiospermum invasive rhinosinusitis in an elderly patient: diagnosis and treatment,"Liang Y, Xiong X, Zhang C, Wang W, Zhang G.",Heliyon. 2022 Dec 22;8(12):e12476. doi: 10.1016/j.heliyon.2022.e12476. eCollection 2022 Dec.,Liang Y,Heliyon,2022,2023/1/9,PMC9813714,,10.1016/j.heliyon.2022.e12476
37215494,Detection of V. vulnificus septic shock with ARDS using mNGS,"Dan T, Qin H, Sun C, Shen H, Guo L.",Open Life Sci. 2023 May 18;18(1):20220584. doi: 10.1515/biol-2022-0584. eCollection 2023.,Dan T,Open Life Sci,2023,2023/5/22,PMC10199319,,10.1515/biol-2022-0584
40379020,Detection of Prevotella species in anaerobic culture-negative multiple abscesses using next-generation sequencing,"Goto M, Yamamoto K, Horiba K, Hashino M, Kubono Y, Ohmagari N.",J Infect Chemother. 2025 Jul;31(7):102733. doi: 10.1016/j.jiac.2025.102733. Epub 2025 May 14.,Goto M,J Infect Chemother,2025,2025/5/16,,,10.1016/j.jiac.2025.102733
38977484,Perichondritis of the auricle: bacterial or fungal? (A case series),"Hu M, Cheng Y.",Eur Arch Otorhinolaryngol. 2024 Oct;281(10):5559-5562. doi: 10.1007/s00405-024-08792-w. Epub 2024 Jul 8.,Hu M,Eur Arch Otorhinolaryngol,2024,2024/7/8,PMC11416377,,10.1007/s00405-024-08792-w
40667514,Metagenomic Next-Generation Sequencing Unravels Talaromyces Marneffei-Induced Bone Destruction in an HIV-Negative Woman: A Case Report with Fatal Outcome,"Chen J, Pang Z, Qin C, Huang Z, Chen Y.",Infect Drug Resist. 2025 Jul 11;18:3481-3486. doi: 10.2147/IDR.S522851. eCollection 2025.,Chen J,Infect Drug Resist,2025,2025/7/16,PMC12262079,,10.2147/IDR.S522851
40131352,Invasive pulmonary and central nervous system aspergillosis: A case report and literature review,"Lu W, Ji R, Li W.",Acta Microbiol Immunol Hung. 2025 Mar 25;72(1):9-15. doi: 10.1556/030.2025.02528. Print 2025 Mar 27.,Lu W,Acta Microbiol Immunol Hung,2025,2025/3/25,,,10.1556/030.2025.02528
36181381,Effect of mineral oil as a lubricant to collect feces from cats for microbiome studies,"Ma X, Brinker E, Cao W, Graff EC, Wang X.",J Vet Intern Med. 2022 Nov;36(6):1974-1980. doi: 10.1111/jvim.16556. Epub 2022 Oct 1.,Ma X,J Vet Intern Med,2022,2022/10/1,PMC9708416,,10.1111/jvim.16556
40328237,Chagas Meningoencephalitis Diagnosed in Heart Transplant Patient Using Metagenomic Next-Generation Sequencing of Cerebrospinal Fluid,"Teitelbaum J, Madan S, Patel S, Coyle C, Chiu CY, Thwe PM, Uehara M, Jermyn R, Hemmige V.",Am J Trop Med Hyg. 2025 May 6;113(1):32-36. doi: 10.4269/ajtmh.24-0553. Print 2025 Jul 2.,Teitelbaum J,Am J Trop Med Hyg,2025,2025/5/6,PMC12225569,,10.4269/ajtmh.24-0553
39253606,Cryptococcus Neoformans Osteomyelitis of the Right Ankle Diagnosed by Metagenomic Next-Generation Sequencing in a HIV-Negative Patient with Tuberculous Lymphadenitis and Pulmonary Tuberculosis: A Case Report and Recent Literature Review,"Qin Y, Zou X, Jin Y, Li J, Cai Q.",Infect Drug Resist. 2024 Sep 4;17:3805-3812. doi: 10.2147/IDR.S476270. eCollection 2024.,Qin Y,Infect Drug Resist,2024,2024/9/10,PMC11381933,,10.2147/IDR.S476270
35690718,Gardnerella vaginalis purulent meningitis in an adolescent male: a case report,"Lu H, Du Y, Pan T, Lou Z, Li H, Liao Y, Wang L.",BMC Neurol. 2022 Jun 11;22(1):217. doi: 10.1186/s12883-022-02733-y.,Lu H,BMC Neurol,2022,2022/6/11,PMC9188035,,10.1186/s12883-022-02733-y
37994021,Severe pneumonia with empyema caused by Parvimonas micra and Streptococcus constellatus co-infection: a case report,"Duan Y, Feng W, Shen Y, Li Y, Li N, Chen X, Wang Y.",J Int Med Res. 2023 Nov;51(11):3000605231210657. doi: 10.1177/03000605231210657.,Duan Y,J Int Med Res,2023,2023/11/23,PMC10666820,,10.1177/03000605231210657
37892039,Weil's Disease in an HIV-Infected Patient: A Case Report and Literature Review,"Zheng X, He P, Zhong R, Chen G, Xia J, Li C.",Diagnostics (Basel). 2023 Oct 16;13(20):3218. doi: 10.3390/diagnostics13203218.,Zheng X,Diagnostics (Basel),2023,2023/10/28,PMC10606346,,10.3390/diagnostics13203218
40090521,The contribution of metagenomic next-generation sequencing to a diagnosis of gas-producing Fusobacterium-induced septic hip arthritis: A case report,"Kitaya S, Horiba K, Kabata T, Iyobe T, Hashino M, Yamazaki H, Takahashi Y, Zaimoku Y, Oshima M, Kanamori H.",J Infect Chemother. 2025 Apr;31(4):102681. doi: 10.1016/j.jiac.2025.102681. Epub 2025 Mar 14.,Kitaya S,J Infect Chemother,2025,2025/3/16,,,10.1016/j.jiac.2025.102681
39111107,A case report of acute Q fever with low-read detection of Coxiella burnetii genome by next-generation metagenomic sequencing,"Wu X, Xu A, Tian F, Yang J, Lin L, Zhai M, Wu B, Zheng Y.",Diagn Microbiol Infect Dis. 2024 Oct;110(2):116434. doi: 10.1016/j.diagmicrobio.2024.116434. Epub 2024 Jul 14.,Wu X,Diagn Microbiol Infect Dis,2024,2024/8/7,,,10.1016/j.diagmicrobio.2024.116434
40674758,"A pediatric case of cat scratch disease, complicated by meningitis, diagnosed by metagenomic next-generation sequencing","Jin L, Wen Y, Li Y.",Turk J Pediatr. 2025 Jul 6;67(3):428-432. doi: 10.24953/turkjpediatr.2025.5960.,Jin L,Turk J Pediatr,2025,2025/7/17,,,10.24953/turkjpediatr.2025.5960
41187181,Omadacycline treatment of severe Chlamydia psittaci pneumonia with septic shock diagnosed via metagenomic next-generation sequencing,"Xu P, Huang Z.",J Infect Dev Ctries. 2025 Oct 31;19(10):1570-1576. doi: 10.3855/jidc.21299.,Xu P,J Infect Dev Ctries,2025,2025/11/4,,,10.3855/jidc.21299
34702199,Diagnosis of Enterococcus faecalis meningitis associated with long-term cerebrospinal fluid rhinorrhoea using metagenomics next-generation sequencing: a case report,"Zhang X, Jiang C, Zhou C.",BMC Infect Dis. 2021 Oct 26;21(1):1105. doi: 10.1186/s12879-021-06797-y.,Zhang X,BMC Infect Dis,2021,2021/10/27,PMC8549229,,10.1186/s12879-021-06797-y
38590553,Diagnosis of a Familial Psittacosis Outbreak with Clinical Analysis and Metagenomic Next-Generation Sequencing Under COVID-19: A Case Series,"Wang J, Jia P, Zhang D, Zhao Y, Sui X, Jin Z, Song W.",Infect Drug Resist. 2024 Mar 18;17:1099-1105. doi: 10.2147/IDR.S440400. eCollection 2024.,Wang J,Infect Drug Resist,2024,2024/4/9,PMC10999973,,10.2147/IDR.S440400
40046986,A Report of Primary Pyogenic Ventriculitis Caused by Streptococcus Constellatus Diagnosed by Metagenomic Next-Generation Sequencing,"Zhang D, Deng M, Li F, Shen R.",Infect Drug Resist. 2025 Mar 1;18:1209-1214. doi: 10.2147/IDR.S508937. eCollection 2025.,Zhang D,Infect Drug Resist,2025,2025/3/6,PMC11881772,,10.2147/IDR.S508937
33882850,Gastrointestinal manifestations of Talaromyces marneffei infection in an HIV-infected patient rapidly verified by metagenomic next-generation sequencing: a case report,"Zhou Y, Liu Y, Wen Y.",BMC Infect Dis. 2021 Apr 21;21(1):376. doi: 10.1186/s12879-021-06063-1.,Zhou Y,BMC Infect Dis,2021,2021/4/22,PMC8059157,,10.1186/s12879-021-06063-1
37675126,Case Report: Severe Diarrhea Caused by Cryptosporidium Diagnosed by Metagenome Next-Generation Sequencing in Blood,"Shan H, Wei C, Zhang J, He M, Zhang Z.",Infect Drug Resist. 2023 Sep 1;16:5777-5782. doi: 10.2147/IDR.S422799. eCollection 2023.,Shan H,Infect Drug Resist,2023,2023/9/7,PMC10478782,,10.2147/IDR.S422799
38586336,Osteomyelitis of the femur caused by Metamycoplasma orale in an immunocompromised patient using metagenomic next-generation sequencing: A case report,"Zhu H, Zhu J, Wang Y, Xi X, Wang K, Wang Y, Ding R, Li H.",Heliyon. 2024 Mar 27;10(7):e28730. doi: 10.1016/j.heliyon.2024.e28730. eCollection 2024 Apr 15.,Zhu H,Heliyon,2024,2024/4/8,PMC10998140,,10.1016/j.heliyon.2024.e28730
39573993,The carpal tunnel syndrome caused by Arthrinium phaeospermum infection: first case report and literature review,"Li M, Li Y, Li X.",BMC Infect Dis. 2024 Nov 21;24(1):1328. doi: 10.1186/s12879-024-10232-3.,Li M,BMC Infect Dis,2024,2024/11/22,PMC11583402,,10.1186/s12879-024-10232-3
38500954,Diagnosis of pulmonary hemorrhagic leptospirosis complicated by invasive pulmonary aspergillosis complemented by metagenomic next-generation sequencing: a case report,"Yang QF, Shu CM, Ji QY.",Front Med (Lausanne). 2024 Mar 4;11:1365096. doi: 10.3389/fmed.2024.1365096. eCollection 2024.,Yang QF,Front Med (Lausanne),2024,2024/3/19,PMC10944945,,10.3389/fmed.2024.1365096
38094659,Misdiagnosis of pneumorrhagia leptospirosis as common CAP: A case report and literature review,"Li GS, Guo HQ.",Respir Med Case Rep. 2023 Nov 27;46:101954. doi: 10.1016/j.rmcr.2023.101954. eCollection 2023.,Li GS,Respir Med Case Rep,2023,2023/12/14,PMC10716021,,10.1016/j.rmcr.2023.101954
40118380,Next-generation sequencing assistance in the diagnosis of active tuberculosis following allogeneic hematopoietic stem cell transplantation: A case series,"Guo D, Fan J, Zhang X, Chen S, Du X.",J Infect Chemother. 2025 Apr;31(4):102683. doi: 10.1016/j.jiac.2025.102683. Epub 2025 Mar 19.,Guo D,J Infect Chemother,2025,2025/3/21,,,10.1016/j.jiac.2025.102683
37724414,Leukemia followed by mixed infection with mucormycosis and aspergillosis: A case report and literature review,"Zhang Y, Yang M.",Zhong Nan Da Xue Xue Bao Yi Xue Ban. 2023 Jul 28;48(7):1105-1112. doi: 10.11817/j.issn.1672-7347.2023.230039.,Zhang Y,Zhong Nan Da Xue Xue Bao Yi Xue Ban,2023,2023/9/19,PMC10930039,,10.11817/j.issn.1672-7347.2023.230039
40104149,Metagenomic next-generation sequencing identifies native valve Aspergillus fumigatus endocarditis with cerebral involvement: a case report,"Wu W, Xu J, Ruan J, Tian B, Xuan N.",Front Cardiovasc Med. 2025 Mar 4;12:1487543. doi: 10.3389/fcvm.2025.1487543. eCollection 2025.,Wu W,Front Cardiovasc Med,2025,2025/3/19,PMC11914112,,10.3389/fcvm.2025.1487543
37525113,A rare case of severe leptospirosis infection presenting as septic shock in a non-endemic area: a case report and literature review,"Dai J, Yao C, Ling H, Li B, Chen R, Shi F.",BMC Infect Dis. 2023 Jul 31;23(1):503. doi: 10.1186/s12879-023-08367-w.,Dai J,BMC Infect Dis,2023,2023/7/31,PMC10391985,,10.1186/s12879-023-08367-w
40384801,Diagnosis of Mycoplasma Hominis Peritonitis in a CAPD Patient with Metagenomic Next-Generation Sequencing: A Case Report,"Deng C, Hong L, Sun D, Miao H, Tang F, Li Z, Liu X.",Infect Drug Resist. 2025 May 12;18:2469-2473. doi: 10.2147/IDR.S510660. eCollection 2025.,Deng C,Infect Drug Resist,2025,2025/5/19,PMC12083492,,10.2147/IDR.S510660
38032574,Use of Metagenomic Next-Generation Sequencing in the Identification of Pneumocystis Jiroveci Pneumonia in a Previously Healthy Infant Diagnosed With X-Linked Hyper-IgM Syndrome,"Dennis J, Massey C, Muisyo T, Moraru G, Akande M.",J Pediatr Health Care. 2024 May-Jun;38(3):420-423. doi: 10.1016/j.pedhc.2023.09.009. Epub 2023 Nov 29.,Dennis J,J Pediatr Health Care,2024,2023/11/30,,,10.1016/j.pedhc.2023.09.009
38243162,A rare case of anti-DPPX encephalitis combined with neuroleptospirosis,"Jin Y, Lan W, Chen X, Liu W, Luo W, Chen S.",BMC Neurol. 2024 Jan 19;24(1):34. doi: 10.1186/s12883-024-03538-x.,Jin Y,BMC Neurol,2024,2024/1/19,PMC10797929,,10.1186/s12883-024-03538-x
36785766,Mycobacterium xenopi infection of the kidney and lymph nodes: A case report,"Zeng G, Lu J.",Open Med (Wars). 2023 Feb 7;18(1):20230646. doi: 10.1515/med-2023-0646. eCollection 2023.,Zeng G,Open Med (Wars),2023,2023/2/14,PMC9921912,,10.1515/med-2023-0646
32337158,An unusual case report of brain abscess caused by prevotella loescheii identified using the metagenomic next-generation sequencing,"Deng S, Zhu H, Li Y, Zhao F, Ocak U, Gong Y.",IDCases. 2020 Apr 9;20:e00758. doi: 10.1016/j.idcr.2020.e00758. eCollection 2020.,Deng S,IDCases,2020,2020/4/28,PMC7176937,,10.1016/j.idcr.2020.e00758
35899082,Septic Shock After Kidney Transplant: A Rare Bloodstream Ralstonia mannitolilytica Infection,"Tian X, Jing N, Duan W, Wu X, Zhang C, Wang S, Yan T.",Infect Drug Resist. 2022 Jul 19;15:3841-3845. doi: 10.2147/IDR.S370170. eCollection 2022.,Tian X,Infect Drug Resist,2022,2022/7/28,PMC9309314,,10.2147/IDR.S370170
36595850,Metagenomic next-generation sequencing as an unconventional approach to warn of tumor cells in a patients with non-mucinous pneumonic-type lung adenocarcinoma: Case report,"Shui Y, Wang H.",Medicine (Baltimore). 2022 Dec 23;101(51):e32448. doi: 10.1097/MD.0000000000032448.,Shui Y,Medicine (Baltimore),2022,2023/1/3,PMC9794315,,10.1097/MD.0000000000032448
35646994,Case Report: "Area of Focus" Atypical Trichinellosis and Fascioliasis Coinfection,"Wang M, Liu W, Xiong Z, Li Z, Li J, Xu X, Zhang M, Xing M, Ning Q, Wu D, Qi J.",Front Med (Lausanne). 2022 May 11;9:881356. doi: 10.3389/fmed.2022.881356. eCollection 2022.,Wang M,Front Med (Lausanne),2022,2022/6/1,PMC9132012,,10.3389/fmed.2022.881356
36107603,Tuberculosis infection related hemophagocytic lymphohistiocytosis diagnosed in patient with GZMB mutation: A case report and literature review,"Wang Z, Zhang J, Hao Z, Meng L, Han Z, Hong Z.",Medicine (Baltimore). 2022 Sep 2;101(35):e30283. doi: 10.1097/MD.0000000000030283.,Wang Z,Medicine (Baltimore),2022,2022/9/15,PMC9439727,,10.1097/MD.0000000000030283
40861207,Nocardia otitidiscaviarum meningitis in an immunocompetent patient diagnosed by metagenomic next-generation sequencing: a case report,"Chen P, Li J, Liu PX, Gou H, Yu M, Li LL, Huang L.",Front Med (Lausanne). 2025 Aug 11;12:1588977. doi: 10.3389/fmed.2025.1588977. eCollection 2025.,Chen P,Front Med (Lausanne),2025,2025/8/27,PMC12375495,,10.3389/fmed.2025.1588977
32178660,The application of metagenomic next-generation sequencing in diagnosing Chlamydia psittaci pneumonia: a report of five cases,"Gu L, Liu W, Ru M, Lin J, Yu G, Ye J, Zhu ZA, Liu Y, Chen J, Lai G, Wen W.",BMC Pulm Med. 2020 Mar 17;20(1):65. doi: 10.1186/s12890-020-1098-x.,Gu L,BMC Pulm Med,2020,2020/3/18,PMC7077129,,10.1186/s12890-020-1098-x
36699718,The successful treatment of Enterocytozoon bieneusi Microsporidiosis with nitazoxanide in a patient with B-ALL: A Case Report,"Zhou L, Guan Z, Chen C, Zhu Q, Qiu S, Liu Y, Li M, Zeng W, Wang H, Gao Y, Yuan Y, Zhang H, Ruan G, Pan X.",Front Cell Infect Microbiol. 2023 Jan 9;12:1072463. doi: 10.3389/fcimb.2022.1072463. eCollection 2022.,Zhou L,Front Cell Infect Microbiol,2023,2023/1/26,PMC9868268,,10.3389/fcimb.2022.1072463
32979589,Pulmonary actinomycosis diagnosed by radial endobronchial ultrasound coupled with metagenomic next-generation sequencing: A case report and brief literature review,"Wang W, Ren D, Xu C, Yuan Q, Zhang Q, Hu H, Xie Q.",Int J Infect Dis. 2020 Nov;100:379-381. doi: 10.1016/j.ijid.2020.09.1418. Epub 2020 Sep 24.,Wang W,Int J Infect Dis,2020,2020/9/26,,,10.1016/j.ijid.2020.09.1418
37960810,Trichomonas vaginalis in bronchoalveolar lavage fluid of a patient with severe pneumonia detected by metagenomic next-generation sequencing: A case report,"Li Z, Wang J, Gou X, Guo Z, Xu F.",Medicine (Baltimore). 2023 Nov 10;102(45):e35777. doi: 10.1097/MD.0000000000035777.,Li Z,Medicine (Baltimore),2023,2023/11/14,PMC10637538,,10.1097/MD.0000000000035777
39077434,Fulminant fatal pneumonia and bacteremia due to Aeromonas dhakensis in an immunocompetent man: a case report and literature review,"Jiang L, Zhao Q, Li D, Gao J, Zhang X, Shu Q, Han X.",Front Cell Infect Microbiol. 2024 Jul 15;14:1359422. doi: 10.3389/fcimb.2024.1359422. eCollection 2024.,Jiang L,Front Cell Infect Microbiol,2024,2024/7/30,PMC11284091,,10.3389/fcimb.2024.1359422
39170755,Severe community?acquired pneumonia caused by Legionella gormanii in combination with influenza A subtype (H1N1) virus in an immunocompetent patient detected by metagenomic next?generation sequencing: A case report,"Li S, Zhang Y, Han D.",Biomed Rep. 2024 Aug 12;21(4):145. doi: 10.3892/br.2024.1833. eCollection 2024 Oct.,Li S,Biomed Rep,2024,2024/8/22,PMC11337151,,10.3892/br.2024.1833
36730964,Disseminated Cunninghamella elegans Infection Diagnosed by mNGS During Induction Therapy in a Child With Intermediate-risk Acute Lymphoblastic Leukemia: A Case Report and Review of Literature,"Yu N, Ye S, Yang Z, Chen Z, Zhang C.",J Pediatr Hematol Oncol. 2023 Mar 1;45(2):e266-e271. doi: 10.1097/MPH.0000000000002577. Epub 2022 Oct 24.,Yu N,J Pediatr Hematol Oncol,2023,2023/2/2,,,10.1097/MPH.0000000000002577
37842004,Case Report: Omadacycline in the treatment of macrolide-unresponsive Mycoplasma pneumoniae pneumonia in an adolescent patient,"Xu L, Fang C.",Front Cell Infect Microbiol. 2023 Sep 29;13:1244398. doi: 10.3389/fcimb.2023.1244398. eCollection 2023.,Xu L,Front Cell Infect Microbiol,2023,2023/10/16,PMC10570831,,10.3389/fcimb.2023.1244398
39376649,Rapid diagnosis of Aspergillus flavus infection in acute very severe aplastic anemia with metagenomic next-generation sequencing: a case report and literature review,"Kang Y, Zhang X, Qin C, Zheng Y, Gai W, Jia X, Shao B, Zhang S, Jiang H, Huang X, Jia J.",Front Med (Lausanne). 2024 Sep 23;11:1413964. doi: 10.3389/fmed.2024.1413964. eCollection 2024.,Kang Y,Front Med (Lausanne),2024,2024/10/8,PMC11456449,,10.3389/fmed.2024.1413964
40370716,Metagenomic next-generation sequencing enabled diagnosis of Aspergillus spondylitis in an immunocompetent patient: a case report and literature review,"Yang Z, Zhou S, Yang Z, Liu P, Chen S, Zhu W.",Front Med (Lausanne). 2025 Apr 30;12:1575363. doi: 10.3389/fmed.2025.1575363. eCollection 2025.,Yang Z,Front Med (Lausanne),2025,2025/5/15,PMC12074920,,10.3389/fmed.2025.1575363
41020244,Case Report: Diagnosis of Nocardia asteroides infection using metagenomic next-generation sequencing of lymph node puncture tissue,"Yang YM, Guo J, Dang NN.",Front Med (Lausanne). 2025 Sep 12;12:1626685. doi: 10.3389/fmed.2025.1626685. eCollection 2025.,Yang YM,Front Med (Lausanne),2025,2025/9/29,PMC12463620,,10.3389/fmed.2025.1626685
38707986,Diagnostic and Therapeutic Challenges in Lemierre Syndrome: A Case Report Using Metagenomic Next Generation Sequencing,"Qi Q, Yang J, Yang L, Tian H, Wan C, Liu D.",Infect Drug Resist. 2024 Apr 29;17:1669-1673. doi: 10.2147/IDR.S455994. eCollection 2024.,Qi Q,Infect Drug Resist,2024,2024/5/6,PMC11069072,,10.2147/IDR.S455994
38463387,Case Report: Pneumonia Caused by Chlamydia Psittaci and Cryptococcus Co-Infection,"Zhang A, Lao X, Liang J, Xia X, Ma L, Liang J.",Infect Drug Resist. 2024 Mar 6;17:845-849. doi: 10.2147/IDR.S445920. eCollection 2024.,Zhang A,Infect Drug Resist,2024,2024/3/11,PMC10924924,,10.2147/IDR.S445920
32075599,Fulminant central nervous system varicella-zoster virus infection unexpectedly diagnosed by metagenomic next-generation sequencing in an HIV-infected patient: a case report,"Fang M, Weng X, Chen L, Chen Y, Chi Y, Chen W, Hu Z.",BMC Infect Dis. 2020 Feb 19;20(1):159. doi: 10.1186/s12879-020-4872-8.,Fang M,BMC Infect Dis,2020,2020/2/21,PMC7031966,,10.1186/s12879-020-4872-8
36970243,Gestational psittacosis causes severe pneumonia and miscarriage: A case report and literature review,"Wang L, Lin C, Qi Y.",Radiol Case Rep. 2023 Mar 17;18(5):1959-1962. doi: 10.1016/j.radcr.2023.02.034. eCollection 2023 May.,Wang L,Radiol Case Rep,2023,2023/3/27,PMC10030822,,10.1016/j.radcr.2023.02.034
37327856,Purulent meningitis and secondary epilepsy caused by Mycobacterium iranicum infection: A case report,"Xu L, Wu H, Zhou H, Zhou X, Sun Y.",Int J Infect Dis. 2023 Oct;135:5-7. doi: 10.1016/j.ijid.2023.06.002. Epub 2023 Jun 15.,Xu L,Int J Infect Dis,2023,2023/6/16,,,10.1016/j.ijid.2023.06.002
38176300,Rapid diagnosis of Aspergillus fumigatus endocarditis using mNGS assay: A case report and review of the literature,"Li X, Li D, Han D.",Diagn Microbiol Infect Dis. 2024 Mar;108(3):116171. doi: 10.1016/j.diagmicrobio.2023.116171. Epub 2024 Jan 1.,Li X,Diagn Microbiol Infect Dis,2024,2024/1/4,,,10.1016/j.diagmicrobio.2023.116171
